"","Name","Clay","Hard","Grass","Played"
"55","Marcos Baghdatis",0,0.549019607843137,0.461538461538462,70
"56","John Isner",0.636363636363636,0.566326530612245,0.714285714285714,268
"57","Jack Sock",0.388888888888889,0.504854368932039,0.5,133
"58","Gilles Muller",0.428571428571429,0.488372093023256,0.666666666666667,78
"59","Daniel Evans",0.342105263157895,0.563291139240506,0.5,214
"60","Matthew Barton",0,0.5,0,2
"61","Paolo Lorenzi",0.391304347826087,0.36734693877551,0.222222222222222,104
"62","Andrey Kuznetsov",0.473684210526316,0.315789473684211,0,40
"63","Alex De Minaur",0.405405405405405,0.630541871921182,0.59375,272
"64","Marcel Granollers",0.307692307692308,0.230769230769231,0.636363636363636,50
"65","Gastao Elias",0.444444444444444,0.1,0,29
"66","Pablo Cuevas",0.548672566371681,0.37037037037037,0.2,172
"67","Pablo Carreno Busta",0.617391304347826,0.606217616580311,0.428571428571429,322
"68","Andrey Rublev",0.671641791044776,0.66412213740458,0.647058823529412,346
"69","Sam Querrey",0.461538461538462,0.483870967741935,0.644444444444444,195
"70","Alexander Bublik",0.354838709677419,0.507246376811594,0.606060606060606,202
"71","Noah Rubin",0.2,0.357142857142857,0,20
"72","Roger Federer",0.705882352941177,0.854166666666667,0.869565217391304,207
"73","Lukas Lacko",0,0.361111111111111,0.5,50
"74","Andreas Seppi",0.324324324324324,0.49,0.533333333333333,167
"75","Nick Kyrgios",0.529411764705882,0.662251655629139,0.648648648648649,205
"76","Dusan Lajovic",0.472222222222222,0.403225806451613,0.333333333333333,247
"77","Bernard Tomic",0.235294117647059,0.382352941176471,0.5,71
"78","Victor Estrella",0.470588235294118,0.142857142857143,0,28
"79","Marin Cilic",0.649350649350649,0.576530612244898,0.780487804878049,314
"80","Gael Monfils",0.458333333333333,0.671052631578947,0.521739130434783,223
"81","Alexandr Dolgopolov",0.571428571428571,0.514285714285714,0.333333333333333,59
"82","Donald Young",0,0.450980392156863,0.555555555555556,65
"83","Alexander Zverev",0.769911504424779,0.712550607287449,0.62962962962963,387
"84","Frances Tiafoe",0.4375,0.537313432835821,0.5,275
"85","Yoshihito Nishioka",0.357142857142857,0.517006802721088,0.142857142857143,182
"86","Ernesto Escobedo",0.3,0.378378378378378,0.333333333333333,50
"87","Gilles Simon",0.410714285714286,0.484375,0.482758620689655,213
"88","Fabio Fognini",0.57258064516129,0.529801324503311,0.6,290
"89","Andrew Whittington",0,0.5,0,3
"90","Carlos Berlocq",0.32258064516129,0.428571428571429,0.25,42
"91","Richard Gasquet",0.534246575342466,0.551724137931034,0.62962962962963,245
"92","Denis Istomin",0.333333333333333,0.407407407407407,0.384615384615385,94
"93","Nicolas Jarry",0.579710144927536,0.325,0.4,119
"94","Cristian Garin",0.626262626262626,0.366666666666667,0.5,177
"95","Tomas Barrios Vera",0.333333333333333,0.25,0,8
"96","Frederico Ferreira Silva",0.5,0.333333333333333,0,7
"97","Pedro Sousa",0.44,0.181818181818182,0,37
"98","Ramkumar Ramanathan",0,0.303030303030303,0.692307692307692,47
"99","Emilio Gomez",0.25,0.333333333333333,0,22
"100","Roberto Quiroz",0.571428571428571,0.4,0,18
"101","Gonzalo Escobar",0.5,0,0,2
"102","Mirza Basic",0.357142857142857,0.4375,0.25,50
"103","Damir Dzumhur",0.368421052631579,0.476923076923077,0.615384615384615,181
"104","Tomislav Brkic",0,0.25,0,4
"105","Adrian Ungur",0,0.666666666666667,0,5
"106","Egor Gerasimov",0.307692307692308,0.523809523809524,0.5,101
"107","Marius Copil",0.15,0.449275362318841,0.375,97
